bill_id,act_number
68959,853-20
68960,1357-20
69850,885-20
68987,892-20
70686,1197-20
68998,1477-20
69381,1015-20
69003,1685-20
69523,958-20
69004,1095-20
69394,926-20
69008,770-20
69010,667-20
69011,668-20
69012,669-20
69014,736-20
69029,1020-20
69392,830-20
69030,670-20
69454,756-20
69042,862-20
69043,1605-20
70192,1327-20
71365,1330-20
69045,2858-20
69511,867-20
69301,1266-20
69056,893-20
69060,1135-20
69170,727-20
69062,907-20
69326,794-20
69283,904-20
69296,783-20
70572,1198-20
69085,1217-20
69400,844-20
71043,1329-20
69099,1019-20
70068,928-20
69101,1328-20
69882,959-20
69107,712-20
69109,737-20
69110,2074-20
70278,1031-20
69111,847-20
69117,895-20
69118,714-20
69119,1028-20
69120,715-20
69990,1061-20
69122,1062-20
69129,931-20
69197,798-20
69978,894-20
69485,877-20
69132,807-20
70129,1009-20
70406,940-20
69841,917-20
69134,1111-20
69135,1102-20
69136,1112-20
69140,1115-20
69525,906-20
69138,810-20
69299,753-20
69706,873-20
69710,823-20
69455,755-20
69144,723-20
69145,689-20
69147,2620-20
70731,1899-20
69148,751-20
73205,2007-20
69161,1053-20
69297,750-20
69160,725-20
69165,749-20
69166,1033-20
69169,724-20
72556,2763-20
72706,1817-20
69180,2026-20
70469,1247-20
72279,1560-20
69186,2230-20
73042,1921-20
69187,989-20
69196,941-20
69804,841-20
69201,777-20
69204,1401-20
70188,1013-20
69209,769-20
69210,739-20
69211,740-20
69224,797-20
70949,1629-20
70950,1307-20
69497,984-20
69229,757-20
69234,1599-20
71440,1433-20
70470,1169-20
69451,900-20
69244,1414-20
69364,820-20
69246,764-20
69247,758-20
69248,745-20
70674,2049-20
69266,744-20
69267,2904-20
69270,806-20
69275,1977-20
69489,812-20
69279,1534-20
70336,1170-20
69280,1582-20
69749,902-20
69300,1187-20
70143,1091-20
69971,1303-20
69308,1116-20
69578,818-20
70565,1018-20
69309,1293-20
69789,871-20
69310,1294-20
69788,872-20
69323,789-20
69321,779-20
69322,778-20
69330,747-20
69335,2255-20
71597,1394-20
69334,746-20
69341,1665-20
69924,987-20
69342,784-20
70452,1612-20
69345,748-20
69363,742-20
69368,1974-20
70327,1672-20
69372,2154-20
70645,1191-20
69375,792-20
70213,1163-20
69576,811-20
69402,795-20
69410,865-20
69411,765-20
69412,780-20
69414,1214-20
69927,988-20
69413,829-20
69417,1889-20
72090,1501-20
69418,1630-20
70865,1160-20
69446,896-20
69459,802-20
69473,848-20
69481,800-20
69482,962-20
69790,889-20
69480,801-20
69492,799-20
72167,1876-20
69510,2758-20
74931,2610-20
70573,1199-20
69527,2008-20
70509,1295-20
69539,1113-20
70355,951-20
69540,1000-20
70039,1051-20
69550,1506-20
70409,961-20
69632,1604-20
70738,1185-20
69572,1292-20
69883,960-20
69575,1120-20
69772,838-20
69579,835-20
69580,1094-20
69820,886-20
70335,1200-20
69597,1367-20
70597,1133-20
69603,1417-20
70023,957-20
69618,1578-20
70047,1056-20
69873,952-20
69634,1723-20
70122,1161-20
69708,1888-20
70049,1181-20
69646,1024-20
70094,925-20
69648,822-20
69651,1499-20
69652,953-20
69656,1726-20
70050,1232-20
69829,839-20
69676,948-20
69947,888-20
69679,1416-20
70021,1090-20
69682,1175-20
70140,956-20
69684,1892-20
69686,909-20
69831,868-20
69690,824-20
69692,884-20
69938,1082-20
70310,980-20
71374,1299-20
71184,1361-20
69793,864-20
69818,1376-20
69824,1788-20
70505,1260-20
69825,968-20
69826,2689-20
70620,1309-20
69827,2690-20
70202,1310-20
69838,1213-20
70070,945-20
69854,920-20
69863,1117-20
70045,1459-20
69866,903-20
69874,887-20
69893,897-20
69896,2601-20
70495,1188-20
69898,1103-20
69905,921-20
69908,973-20
70454,1142-20
